55,32,51,1
55,32,50,1
54,32,48,1
41,24,32,1
39,24,32,1
39,23,31,1
38,23,30,1
37,22,29,1
43,25,35,1
43,25,35,1
42,25,36,1
43,25,35,1
42,25,33,1
41,24,32,1
39,24,32,1
39,23,31,1
38,23,30,1
37,22,29,1
10,6,12,1
17,11,15,1
22,15,19,1
27,16,22,1
29,17,23,1
30,18,25,1
31,20,26,1
32,19,26,1
32,19,26,1
33,20,26,1
33,20,25,1
33,20,26,1
34,20,27,1
33,20,26,1
35,20,27,1
34,21,26,1
33,20,26,1
33,21,26,1
34,19,26,1
33,20,26,1
33,20,26,1
33,20,26,1
34,20,26,1
33,21,26,1
33,20,26,1
33,20,26,1
33,20,26,1
34,19,26,1
33,20,26,1
34,19,26,1
33,21,26,1
34,20,25,1
33,20,25,1
33,20,26,1
33,20,25,1
33,20,25,1
31,20,23,1
31,19,24,1
30,19,23,1
31,19,25,1
31,19,24,1
31,19,23,1
30,19,22,1
30,19,23,1
30,18,23,1
30,18,22,1
30,18,23,1
29,18,22,1
30,18,23,1
30,19,23,1
30,18,23,1
30,19,23,1
30,18,23,1
30,19,23,1
31,19,23,1
30,19,23,1
31,19,24,1
31,19,24,1
31,18,24,1
31,18,24,1
31,19,23,1
31,19,24,1
31,19,22,1
31,19,24,1
31,19,25,1
33,19,26,1
31,20,25,1
32,19,25,1
32,20,25,1
32,20,25,1
32,20,25,1
32,20,25,1
32,18,24,1
31,19,24,1
31,19,24,1
30,19,24,1
31,19,25,1
31,19,25,1
31,19,24,1
31,19,24,1
33,19,25,1
33,20,25,1
33,20,27,1
34,21,55,1
48,28,64,1
53,31,67,1
55,31,65,1
55,31,66,1
57,32,57,1
53,30,58,1
52,30,57,1
53,30,59,1
53,30,61,1
54,30,62,1
54,32,68,1
57,32,69,1
57,33,74,1
61,34,87,1
65,36,94,1
73,40,99,1
72,40,97,1
71,38,94,1
69,38,92,1
69,38,92,1
68,38,92,1
69,38,92,1
68,38,92,1
69,38,93,1
69,38,92,1
68,38,95,1
70,39,95,1
70,38,95,1
70,39,95,1
70,38,94,1
70,38,71,1
60,33,65,1
58,33,66,1
59,33,64,1
58,33,62,1
56,32,84,1
66,36,89,1
67,37,90,1
68,37,90,1
68,38,85,1
65,36,78,1
64,35,65,1
56,31,41,1
47,27,39,1
45,27,37,1
43,26,36,1
42,26,39,1
44,26,43,1
45,27,41,1
45,26,42,1
45,27,43,1
46,27,47,1
49,28,48,1
48,28,46,1
48,27,45,1
47,27,46,1
48,27,49,1
49,28,53,1
52,29,68,1
58,33,69,1
58,34,68,1
58,33,66,1
57,32,67,1
57,32,68,1
58,32,67,1
